nickname,time,Post,Bag Of Words,Label
flatwhite45,Sat 21-Jan-17 18:49:26,"I had previously deleted it, and hey bingo, it was very easy to find an old deleted text message.....and off I go....","I had previously deleted it, and hey bingo, it was very easy to find an old deleted text message.....and off I go....",False
flatwhite45,Sat 21-Jan-17 18:52:38,"So the plan for this week is to visit an apple shop and get the number permanently removed from the phone, which i understand is possible. Anyway you two are both amazing!! I am very grateful for your input. Hope you both have lovely evenings ","So the plan for this week is to visit an apple shop and get the number permanently removed from the phone, which i understand is possible. Anyway you two are both amazing!! I am very grateful for your input. Hope you both have lovely evenings ",False
serialtester,Sat 21-Jan-17 19:01:27, Watched the theory of everything last Saturday - was amazing! At half ten last night i was on Craigslist looking for a dealer - how sad is that?! I deleted all connections ages ago. Glad you are feeling a bit better., Watched the theory of everything last Saturday - was amazing! At half ten last night i was on Craigslist looking for a dealer - how sad is that?! I deleted all connections ages ago. Glad you are feeling a bit better.,False
UnbornMortificado,Sat 21-Jan-17 19:05:05,"OP I think I was on your previous thread.Just popping on to say good luck, sound like your doing really well for the most part.No judgement from me, I shan't pretend to be an addiction expert in the typical sense but I've had my own battles with a prescription drug.Flat same to you Getting caught in addiction is piss easy it's getting out of it that's hard going.","OP I think I was on your previous thread.Just popping on to say good luck, sound like your doing really well for the most part.No judgement from me, I shan't pretend to be an addiction expert in the typical sense but I've had my own battles with a prescription drug.Flat same to you Getting caught in addiction is piss easy it's getting out of it that's hard going.",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 19:08:57, Don't feel amazing and wise  (I do feel about 80 today though) but thanks. Hopefully we can prop each other up and come on here when the coke brain starts taking over. Nice bath and watching Casualty is my plan tonight., Don't feel amazing and wise  (I do feel about 80 today though) but thanks. Hopefully we can prop each other up and come on here when the coke brain starts taking over. Nice bath and watching Casualty is my plan tonight.,False
rainbowdash17,Sun 08-Jan-17 04:07:33,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 19:11:47, Unborn that rings true. It's easy to fall into an addiction almost without realising. Hope you've got on top of yours., Unborn that rings true. It's easy to fall into an addiction almost without realising. Hope you've got on top of yours.,False
UnbornMortificado,Sat 21-Jan-17 19:19:28,ILost I did eventually but it took an inpatient stay to do so.I still waver sometimes. I'm somewhat lucky the MH meds I'm currently on do not react well with it.You should be proud of yourself coming out the other end and being able to help others.,ILost I did eventually but it took an inpatient stay to do so.I still waver sometimes. I'm somewhat lucky the MH meds I'm currently on do not react well with it.You should be proud of yourself coming out the other end and being able to help others.,False
UnbornMortificado,Sat 21-Jan-17 19:23:27,Again different to coke but the reason I was hospitalised was because I overdosed on it. I spent 5 days in a coma and really shouldn't be here to tell you this.It was (prescribed) diazepam if it wasn't obvious.I'm not sure what the OD symptoms are of coke but il tell you now it wasn't fun.,Again different to coke but the reason I was hospitalised was because I overdosed on it. I spent 5 days in a coma and really shouldn't be here to tell you this.It was (prescribed) diazepam if it wasn't obvious.I'm not sure what the OD symptoms are of coke but il tell you now it wasn't fun.,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 19:24:08," I still waver too, unborn, sometimes falling right off the wagon.  believe me I'm far from perfect. You're welcome to post on here if you're struggling."," I still waver too, unborn, sometimes falling right off the wagon.  believe me I'm far from perfect. You're welcome to post on here if you're struggling.",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 19:26:50, That sounds horrendous and terrifying. I hope you've recovered. All addictions are horribly similar in a way I think., That sounds horrendous and terrifying. I hope you've recovered. All addictions are horribly similar in a way I think.,False
UnbornMortificado,Sat 21-Jan-17 19:33:41,There was a huge back story that's not really relevant. My 2015 was like a bloody soap story. I'm quite open about it on here and don't mind my story being here to be a cautionary story to others.I am ok now but I think an addiction support thread like this is a brilliant idea. Thanks ILost il never be completely over the addiction but I've come to terms with what happened now. If that makes sense.,There was a huge back story that's not really relevant. My 2015 was like a bloody soap story. I'm quite open about it on here and don't mind my story being here to be a cautionary story to others.I am ok now but I think an addiction support thread like this is a brilliant idea. Thanks ILost il never be completely over the addiction but I've come to terms with what happened now. If that makes sense.,False
flatwhite45,Sat 21-Jan-17 19:47:22,"Unborn so sorry to hear your story, that's utterly horrific! So pleased you are better. Stroke, heart attack and death are symptoms of OD on coke, you would think that would be a small motivation to change, but it just doesn't seem to work that way.","Unborn so sorry to hear your story, that's utterly horrific! So pleased you are better. Stroke, heart attack and death are symptoms of OD on coke, you would think that would be a small motivation to change, but it just doesn't seem to work that way.",False
UnbornMortificado,Sat 21-Jan-17 19:51:46,"Flat I don't think any addict truly believes the worst could ever happen to them.Your doing so well honest, without that hospital stay I wouldn't of stopped.","Flat I don't think any addict truly believes the worst could ever happen to them.Your doing so well honest, without that hospital stay I wouldn't of stopped.",False
FruitCider,Sat 21-Jan-17 19:52:07,"Friendly detox nurse just popping her head in to say...You all ROCK! You are doing so well! Recovery is never easy, but IS possible. Keep going!(Scurries out again)","Friendly detox nurse just popping her head in to say...You all ROCK! You are doing so well! Recovery is never easy, but IS possible. Keep going!(Scurries out again)",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 19:52:23," I'm fairly open about my struggles too, but its nice to have a thread like this where you can be brutally honest about it all with like minded people that don't judge. Glad you are better. It sounds like you've been to hell and back, and survived! "," I'm fairly open about my struggles too, but its nice to have a thread like this where you can be brutally honest about it all with like minded people that don't judge. Glad you are better. It sounds like you've been to hell and back, and survived! ",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 19:54:44, fruitcider feeling quite down today so thanks for your encouragement., fruitcider feeling quite down today so thanks for your encouragement.,False
FruitCider,Sat 21-Jan-17 20:01:51,"Any time! I start detoxing on average 6 new patients a day and really know their struggles. I know this is incredibly tough, even without the physical symptoms psychologically it is just awful right? But every day sober gives you a chance at a sober free life. Relapse is common, but the trick is to get straight back on the wagon and carry on the good work. It takes practice to get all manner of things in life right - I feel sobriety is the same! But recovery IS possible! It really is!X","Any time! I start detoxing on average 6 new patients a day and really know their struggles. I know this is incredibly tough, even without the physical symptoms psychologically it is just awful right? But every day sober gives you a chance at a sober free life. Relapse is common, but the trick is to get straight back on the wagon and carry on the good work. It takes practice to get all manner of things in life right - I feel sobriety is the same! But recovery IS possible! It really is!X",False
flatwhite45,Sat 21-Jan-17 20:02:41,"Fruit cider loving your post thank you for the encouragement, please do pop in again when your passing","Fruit cider loving your post thank you for the encouragement, please do pop in again when your passing",False
FruitCider,Sat 21-Jan-17 20:07:11,"Thank you! I can talk recovery all day long, my best friend is an alcoholic, I live in hope that one day he will choose a different life. He's the main reason I went into this line of work really. Addiction can happen to anyone, no-one is immune. What has everyone got planned for this evening, to keep you busy?","Thank you! I can talk recovery all day long, my best friend is an alcoholic, I live in hope that one day he will choose a different life. He's the main reason I went into this line of work really. Addiction can happen to anyone, no-one is immune. What has everyone got planned for this evening, to keep you busy?",False
UnbornMortificado,Sat 21-Jan-17 20:07:32,Fruit is a very wise and helpful poster.<waves>,Fruit is a very wise and helpful poster.<waves>,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:08:06,"It is so hard. I feel like I've been fighting this for so long now, like it's always going to be there luring me back. Sometimes I'm so sick of fighting it. Sorry for the moan, I know it's my own fault. Just a bit disappointed in myself that I went back to it last night because I feel like I can't just go out and socialise like a ""normal"" person.Anyway, thanks for your kind words.","It is so hard. I feel like I've been fighting this for so long now, like it's always going to be there luring me back. Sometimes I'm so sick of fighting it. Sorry for the moan, I know it's my own fault. Just a bit disappointed in myself that I went back to it last night because I feel like I can't just go out and socialise like a ""normal"" person.Anyway, thanks for your kind words.",False
FruitCider,Sat 21-Jan-17 20:11:23,"ILost it's ok to moan, this is hard work and does become tiring. Have you got another date in your mind for when you want to try again?Hello Unborn! Not sure about me being wise and helpful but I certainly try my best! Thank you x","ILost it's ok to moan, this is hard work and does become tiring. Have you got another date in your mind for when you want to try again?Hello Unborn! Not sure about me being wise and helpful but I certainly try my best! Thank you x",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:15:23," Yes I'm back on the wagon now, fruit hoping it was just a blip really but to be honest I'm slipping up about twice a month at the moment. I wish you could bottle your positivity, I'd drink it "," Yes I'm back on the wagon now, fruit hoping it was just a blip really but to be honest I'm slipping up about twice a month at the moment. I wish you could bottle your positivity, I'd drink it ",False
serialtester,Sat 21-Jan-17 20:16:25, Hello unborn and fruit! Addiction is a bastard (she says smoking a cigarette!) Coke is so peculiar because of the psychological craving. Coke brain is a good description! I've never ever encountered anything else that is so good but so bad. 2 weeks and one day on the wagon again. Hopefully I'll keep it up., Hello unborn and fruit! Addiction is a bastard (she says smoking a cigarette!) Coke is so peculiar because of the psychological craving. Coke brain is a good description! I've never ever encountered anything else that is so good but so bad. 2 weeks and one day on the wagon again. Hopefully I'll keep it up.,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:18:15," Good going, serial. "," Good going, serial. ",False
FruitCider,Sat 21-Jan-17 20:18:59,"Only twice a month is really good! That means you are sober the majority of the time. Don't underestimate your achievement! The main thing is that you have chosen to get back on the wagon and give it another go each time.Are you getting any support from drug and alcohol agencies? I really would recommend them. They can offer loads of psychosocial interventions, which teach you about your own relapse signature and how to work positively with your cravings. Just remember, ""this too shall pass"" x","Only twice a month is really good! That means you are sober the majority of the time. Don't underestimate your achievement! The main thing is that you have chosen to get back on the wagon and give it another go each time.Are you getting any support from drug and alcohol agencies? I really would recommend them. They can offer loads of psychosocial interventions, which teach you about your own relapse signature and how to work positively with your cravings. Just remember, ""this too shall pass"" x",False
FruitCider,Sat 21-Jan-17 20:22:13,Hello serial and good work! Cocaine brain is accurate from what I've seen. The psychological withdrawals can be horrific. X,Hello serial and good work! Cocaine brain is accurate from what I've seen. The psychological withdrawals can be horrific. X,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:24:35,Thank you. I did a stint years ago with an NA group when things got really bad so I think I have ways to deal with it but obviously I'm not always putting those into practice.Going to have a bath and watch tv for a bit. Looking forward to waking up feeling a bit brighter tomorrow.,Thank you. I did a stint years ago with an NA group when things got really bad so I think I have ways to deal with it but obviously I'm not always putting those into practice.Going to have a bath and watch tv for a bit. Looking forward to waking up feeling a bit brighter tomorrow.,False
serialtester,Sat 21-Jan-17 20:26:45," Agree with fruit, twice a month is good going. I'm interested in the relapse signature thing - when I relapse it's the same thought process each and every time. Last night, and right now tbh, I can feel the urge to flip the ""fuck it"" switch. I'm doing my best to ignore it though."," Agree with fruit, twice a month is good going. I'm interested in the relapse signature thing - when I relapse it's the same thought process each and every time. Last night, and right now tbh, I can feel the urge to flip the ""fuck it"" switch. I'm doing my best to ignore it though.",False
serialtester,Sat 21-Jan-17 20:29:41," Lost, you will feel sooo much better tomorrow. The devil in me is imagining what an awesome night we could all have if we ever met! Probably a very good job this is anonymous "," Lost, you will feel sooo much better tomorrow. The devil in me is imagining what an awesome night we could all have if we ever met! Probably a very good job this is anonymous ",False
rainbowdash17,Sun 08-Jan-17 04:07:33,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:31:30,Yes I'm interested in the relapse signature thing too. Sometimes something takes over and overrides the rational thoughts like my brain's been taken over. serial keep strong ,Yes I'm interested in the relapse signature thing too. Sometimes something takes over and overrides the rational thoughts like my brain's been taken over. serial keep strong ,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:34:40," serial we'd probably all get on each other's tits, talking over each other "," serial we'd probably all get on each other's tits, talking over each other ",False
serialtester,Sat 21-Jan-17 20:39:43, Haha! I hadn't imagined anyone else talking - you'd all be fascinated by my profound stream of consciousness!!, Haha! I hadn't imagined anyone else talking - you'd all be fascinated by my profound stream of consciousness!!,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:43:07, and I'd nick all your fags , and I'd nick all your fags ,False
flatwhite45,Sat 21-Jan-17 20:44:14,"Serial keep strong  my lovely, wind the film to the end....,today I felt utterly horrific, I kept thinking ""I just want to die"" I didn't really.....but I did feel bad enough to just not want to be conscious, that is a bad bad feeling, and so not worth the very short period of feeling high, I was 'on it' for 7hrs last night and only enjoyed the first half hour.........so for half an hour of feeling good I lost 80 and 24 hrs.....really??? WTF????","Serial keep strong  my lovely, wind the film to the end....,today I felt utterly horrific, I kept thinking ""I just want to die"" I didn't really.....but I did feel bad enough to just not want to be conscious, that is a bad bad feeling, and so not worth the very short period of feeling high, I was 'on it' for 7hrs last night and only enjoyed the first half hour.........so for half an hour of feeling good I lost 80 and 24 hrs.....really??? WTF????",False
serialtester,Sat 21-Jan-17 20:45:01, I'd cry!! All though to be fair I always have back up fags!, I'd cry!! All though to be fair I always have back up fags!,False
serialtester,Sat 21-Jan-17 20:47:35," Flat, it happened and you're through the worst. 7 hours - could have been loads worse. Whole weekend binge anyone? Now that's shit. As is a line on a Monday morning to get yourself to work."," Flat, it happened and you're through the worst. 7 hours - could have been loads worse. Whole weekend binge anyone? Now that's shit. As is a line on a Monday morning to get yourself to work.",False
FruitCider,Sat 21-Jan-17 20:49:44,"I'm sat here vaping furiously!SMART recovery meetings are very good for working out relapse indicators - from that you can write/draw your own relapse signature and techniques you have learned in SMART to break the cycle. I'll give you an example...You have some bad news. Your instinct is to pick up your phone and buy your substance of choice. What thoughts run through your head? How do you stop yourself from doing that? Someone wrote: ""only one dabble won't hurt. Need to challenge that thought. Here is a list of things that have gone wrong as a result of me using. X Y Z. How can I stop myself from using? I need to ring a supportive friend. Here is a list of friends I can ring that will come over and support me. 1 2 3.""","I'm sat here vaping furiously!SMART recovery meetings are very good for working out relapse indicators - from that you can write/draw your own relapse signature and techniques you have learned in SMART to break the cycle. I'll give you an example...You have some bad news. Your instinct is to pick up your phone and buy your substance of choice. What thoughts run through your head? How do you stop yourself from doing that? Someone wrote: ""only one dabble won't hurt. Need to challenge that thought. Here is a list of things that have gone wrong as a result of me using. X Y Z. How can I stop myself from using? I need to ring a supportive friend. Here is a list of friends I can ring that will come over and support me. 1 2 3.""",False
stabbybitch,Sat 21-Jan-17 20:50:09, for all of you from an addicts partner. There were a few years of me doing it with him but I have stopped. I was never addicted to it but I am addicted to him which makes me want to do it with him. Addiction is a soul destroying I wish you all well., for all of you from an addicts partner. There were a few years of me doing it with him but I have stopped. I was never addicted to it but I am addicted to him which makes me want to do it with him. Addiction is a soul destroying I wish you all well.,False
flatwhite45,Sat 21-Jan-17 20:51:13,"Serial and ilostit your banter is making me smile, and fruitcider your positive energy is just what I needed today,, thank you","Serial and ilostit your banter is making me smile, and fruitcider your positive energy is just what I needed today,, thank you",False
UnbornMortificado,Sat 21-Jan-17 20:54:21,"At my worst I was on the pills day and night. I used them to wake up, to go to sleep, to calm me down etc etc.Small relapses are not as ""bad"" as not being able to function without the drug of choice. There obviously not good either but hopefully you can understand what I'm trying to say. Fruit I have met some shitty MH and addiction nurses in my time. If I ever relapse I want smuggling into you ""establishment"" to be looked after by you please.","At my worst I was on the pills day and night. I used them to wake up, to go to sleep, to calm me down etc etc.Small relapses are not as ""bad"" as not being able to function without the drug of choice. There obviously not good either but hopefully you can understand what I'm trying to say. Fruit I have met some shitty MH and addiction nurses in my time. If I ever relapse I want smuggling into you ""establishment"" to be looked after by you please.",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 20:55:59,"Yep, I know that feeling flat I don't really enjoy it either then hours of shit afterwards. You'll feel better and stronger tomorrow. What fruitsays makes sense, almost like giving yourself a mental slap.Thank you stabby I can only imagine it's almost worse watching someone you love do that to themselves.","Yep, I know that feeling flat I don't really enjoy it either then hours of shit afterwards. You'll feel better and stronger tomorrow. What fruitsays makes sense, almost like giving yourself a mental slap.Thank you stabby I can only imagine it's almost worse watching someone you love do that to themselves.",False
serialtester,Sat 21-Jan-17 20:57:50,"Fruit, vaping is next on my list of things to be addicted to! Stabby, thanks - so sorry you had to go through that.Flat, on our fictional night out you can nick lost's line while she's stealing my fags. I won't notice because I'll be too busy going on about something incredibly longwinded and boring!","Fruit, vaping is next on my list of things to be addicted to! Stabby, thanks - so sorry you had to go through that.Flat, on our fictional night out you can nick lost's line while she's stealing my fags. I won't notice because I'll be too busy going on about something incredibly longwinded and boring!",False
flatwhite45,Sat 21-Jan-17 21:03:04,"Unborn thank you for that perspective, I do feel grateful that the addiction is compartmentalised over a period of 48hrs in the week. I actually bloody love my life Sunday to Thursday! However it is an exhausting and soul destroying cycle to be on all the same. Massive respect to you for pulling yourself through, I can only imagine how all consuming a 24/7 addiction was, you are a superstar ","Unborn thank you for that perspective, I do feel grateful that the addiction is compartmentalised over a period of 48hrs in the week. I actually bloody love my life Sunday to Thursday! However it is an exhausting and soul destroying cycle to be on all the same. Massive respect to you for pulling yourself through, I can only imagine how all consuming a 24/7 addiction was, you are a superstar ",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 21:03:06,"Love you guys. Really hope we can help each other. See you don't need chemicals to be witty and smart, serial flat things have been bleak for me today too. You'll be alright  you come across as so together and self aware. Keep trying that's the main thing at the moment.","Love you guys. Really hope we can help each other. See you don't need chemicals to be witty and smart, serial flat things have been bleak for me today too. You'll be alright  you come across as so together and self aware. Keep trying that's the main thing at the moment.",False
stabbybitch,Sat 21-Jan-17 21:10:57,"I lost its pretty horrendous, especially as it's not just coke he will pretty much take any thing. He would prefer coke but it's ""pure"" round here at 100 a gram so bloody expensive. He's doing really well though for the last 4 months or so it's a once a month weekish binge instead of 5 out of 7 days. It's the lying that's the hardest to live with. I don't trust him anymore, Iv hard a real hard time trying not to accuse him every time he leaves the house because he's sneaky. He's turnt me into somebody I don't really like, I hate not believing him. I have his bank card most of the time so he doesn't really have access to cash but that doesn't stop him as everyone will tic him. Then I have to had over cash to pay for it. He doesn't own a mobile because he chucks them away if he disappears for a week so I can't get hold of him. It's hard but as he knows I will be here every step of the way, I know he's worth it.","I lost its pretty horrendous, especially as it's not just coke he will pretty much take any thing. He would prefer coke but it's ""pure"" round here at 100 a gram so bloody expensive. He's doing really well though for the last 4 months or so it's a once a month weekish binge instead of 5 out of 7 days. It's the lying that's the hardest to live with. I don't trust him anymore, Iv hard a real hard time trying not to accuse him every time he leaves the house because he's sneaky. He's turnt me into somebody I don't really like, I hate not believing him. I have his bank card most of the time so he doesn't really have access to cash but that doesn't stop him as everyone will tic him. Then I have to had over cash to pay for it. He doesn't own a mobile because he chucks them away if he disappears for a week so I can't get hold of him. It's hard but as he knows I will be here every step of the way, I know he's worth it.",False
serialtester,Sat 21-Jan-17 21:11:27, The money I would have spent on a few grams has been converted into some nice boots. Hope everyone has a chilled night tonight and a fresh Sunday. It's so nice talking to people who get it., The money I would have spent on a few grams has been converted into some nice boots. Hope everyone has a chilled night tonight and a fresh Sunday. It's so nice talking to people who get it.,False
serialtester,Sat 21-Jan-17 21:13:53," Stabby, you sound like such a nice person. He's lucky to have you. Look after yourself though."," Stabby, you sound like such a nice person. He's lucky to have you. Look after yourself though.",False
flatwhite45,Sat 21-Jan-17 21:14:51,"Serial you know me too well I have been known to nick a line or two! Husband normally clueless, as he yaks on!!In all seriousness, massively loving this group too, so glad we can all be honest, and laugh a little at the utter ridiculousness of it all. Sleep well everyone, and serial step away from Craigslist and get yourself to bed","Serial you know me too well I have been known to nick a line or two! Husband normally clueless, as he yaks on!!In all seriousness, massively loving this group too, so glad we can all be honest, and laugh a little at the utter ridiculousness of it all. Sleep well everyone, and serial step away from Craigslist and get yourself to bed",False
stabbybitch,Sat 21-Jan-17 21:20:40,Thank you! I didn't realise how much writing that down would make me feel better.,Thank you! I didn't realise how much writing that down would make me feel better.,False
serialtester,Sat 21-Jan-17 21:22:33," Flat, how did you know what I was doing?! Am going to bed very soon. Have just put my electric blanket on and am ignoring the text from a friend who can set up a line for me. Electric blanket vs going outside - no contest! Night all - tomorrow is going to be great!"," Flat, how did you know what I was doing?! Am going to bed very soon. Have just put my electric blanket on and am ignoring the text from a friend who can set up a line for me. Electric blanket vs going outside - no contest! Night all - tomorrow is going to be great!",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 21:28:17,"stabby come and get support on here if it will help. Don't feel guilty for feeling the way you do. It must be so hard supporting your husband. I'm glad things have improved a bit. Yes to the lying. I lie to myself over it the most Glad you bought boots, serial instead of the stupid alternative. Good choice.","stabby come and get support on here if it will help. Don't feel guilty for feeling the way you do. It must be so hard supporting your husband. I'm glad things have improved a bit. Yes to the lying. I lie to myself over it the most Glad you bought boots, serial instead of the stupid alternative. Good choice.",False
CleaningLikeAMotherFucker,Sat 21-Jan-17 21:29:58,Hi... I've followed this chat for a few days and have cut down a lot over the last 6 months but have really struggled with cravings over the last 48 hours... I've NCed for this... my username tells you how I've kept myself distracted ,Hi... I've followed this chat for a few days and have cut down a lot over the last 6 months but have really struggled with cravings over the last 48 hours... I've NCed for this... my username tells you how I've kept myself distracted ,False
ILostItInTheEarlyNineties,Sat 21-Jan-17 21:33:51," Welcome to our little support thread, cleaning. The cravings are just all consuming sometimes aren't they? Cutting down is a big achievement. Hopefully we can help each other get through it. Distraction definitely helps. "," Welcome to our little support thread, cleaning. The cravings are just all consuming sometimes aren't they? Cutting down is a big achievement. Hopefully we can help each other get through it. Distraction definitely helps. ",False
UnbornMortificado,Sat 21-Jan-17 21:37:21,"Cleaning feel free to come and clean my house if you need a bit distraction My housework standards are slipping, early pregnancy does not agree with me <not envy. Stabby I'm sorry your going through what you are ","Cleaning feel free to come and clean my house if you need a bit distraction My housework standards are slipping, early pregnancy does not agree with me <not envy. Stabby I'm sorry your going through what you are ",False
rainbowdash17,Sun 08-Jan-17 04:07:33,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,I'm about to go cold turkey from cocaine.It's time to! Definitely My weak points are when I'm tempted to buy some (usually evenings)Can I message on here when I'm tempted for a pep talk on why I shouldn't & reassurance that it's ok?I think it would really help me Do you reckon we can do this?,False
stabbybitch,Sat 21-Jan-17 21:40:18,"I think I will stick around if that's ok. I go from feeling guilty to pure rage at how he can put us through this. When I'm angry with him I say it to him too knowing that he doesnt have the answers. The lying has destroyed me really I'm so paranoid that now he's doing really well I still can't stop the analysing everything he does. trying to stop him from going out, searching his stuff when he's not watching, clock watching. But I know I would rather have him like this than not at all and we will get through this like we have for 6 years already. I'm off to bed but will pop back in sometime.","I think I will stick around if that's ok. I go from feeling guilty to pure rage at how he can put us through this. When I'm angry with him I say it to him too knowing that he doesnt have the answers. The lying has destroyed me really I'm so paranoid that now he's doing really well I still can't stop the analysing everything he does. trying to stop him from going out, searching his stuff when he's not watching, clock watching. But I know I would rather have him like this than not at all and we will get through this like we have for 6 years already. I'm off to bed but will pop back in sometime.",False
ILostItInTheEarlyNineties,Sat 21-Jan-17 21:50:48,stabby of course you feel like that. Addiction is a horribly selfish disease and it's hard to separate the person from the addiction if you see what I mean. I hope you're ok. Feel free to vent on here.Early night for me too.,stabby of course you feel like that. Addiction is a horribly selfish disease and it's hard to separate the person from the addiction if you see what I mean. I hope you're ok. Feel free to vent on here.Early night for me too.,False
CleaningLikeAMotherFucker,Sat 21-Jan-17 22:39:46,"Early night here too... the house is sparkling  No coke since Tuesday, it's usually twice a week (down from 5/6 nights a week up till last spring then 3/4 nights last summer) so I'm hoping it's going to go down to once week and then less and less. The cravings are getting easier to deal with and I'm down to 3 cigs a day too. I barely drink these days either. Fingers crossed. Night all and good luck","Early night here too... the house is sparkling  No coke since Tuesday, it's usually twice a week (down from 5/6 nights a week up till last spring then 3/4 nights last summer) so I'm hoping it's going to go down to once week and then less and less. The cravings are getting easier to deal with and I'm down to 3 cigs a day too. I barely drink these days either. Fingers crossed. Night all and good luck",False
serialtester,Sun 22-Jan-17 09:12:50,3 cigs a day? I'm impressed! And well done on cutting down on the coke.I was very tempted again last night but didn't give in. 2 weeks and 2 days.,3 cigs a day? I'm impressed! And well done on cutting down on the coke.I was very tempted again last night but didn't give in. 2 weeks and 2 days.,False
CleaningLikeAMotherFucker,Sun 22-Jan-17 10:13:50,"Yeah I have one cig before work, one on the way home and one after dinner. I've stopped taking cigs or a lighter out with me during the day. It's been hard though. Especially on Friday nights when I usually get through 6 or 7 but then I go back to 'normal'.Two weeks and two days, well done! I did a totally clean month last summer but then started again, albeit more moderately. As fucked up as it was when I was pretty much high every night, I could function. I could sleep, get up on time, I don't suffer negative side effects, hence why I have found it so fucking difficult to stop. The money was getting was getting way out of hand though. I shudder when I think how much I've pissed away. Onwards and upwards though ","Yeah I have one cig before work, one on the way home and one after dinner. I've stopped taking cigs or a lighter out with me during the day. It's been hard though. Especially on Friday nights when I usually get through 6 or 7 but then I go back to 'normal'.Two weeks and two days, well done! I did a totally clean month last summer but then started again, albeit more moderately. As fucked up as it was when I was pretty much high every night, I could function. I could sleep, get up on time, I don't suffer negative side effects, hence why I have found it so fucking difficult to stop. The money was getting was getting way out of hand though. I shudder when I think how much I've pissed away. Onwards and upwards though ",False
UnbornMortificado,Sun 22-Jan-17 10:19:10,Well done serial.Cleaning have you used any aides to help with the stopping smoking? I need to pack in at least for the pregnancy but it's my last vice. I would never touch drink it drugs while expecting but smoking is defiantly my crutch.,Well done serial.Cleaning have you used any aides to help with the stopping smoking? I need to pack in at least for the pregnancy but it's my last vice. I would never touch drink it drugs while expecting but smoking is defiantly my crutch.,False
CleaningLikeAMotherFucker,Sun 22-Jan-17 10:31:10,"No I haven't but then I was only a smoker for about 18 months after a bereavement. I had zero appetite and just smoked. As I got over the grief the smoking, and coke, have subsided. Sorry I can't be more help. How far along are you? Congratulations and well done for staying clean whilst expecting. A year before the bereavement I had a miscarriage. I was doing coke but didn't have a clue i was pregnant. It still gets to me but I'm starting to get over things. Life eh!","No I haven't but then I was only a smoker for about 18 months after a bereavement. I had zero appetite and just smoked. As I got over the grief the smoking, and coke, have subsided. Sorry I can't be more help. How far along are you? Congratulations and well done for staying clean whilst expecting. A year before the bereavement I had a miscarriage. I was doing coke but didn't have a clue i was pregnant. It still gets to me but I'm starting to get over things. Life eh!",False
UnbornMortificado,Sun 22-Jan-17 10:34:22,5/6 weeks so very early. There's a back story so it's very much fingers crossed at the minute.It wasn't your fault if you didn't know. I didn't find out till about 20 weeks with DD1 and didn't stop anything She was fine but that was just luck I think.I can understand that. A bereavement ended up with me being placed on the diazepam so it's really how it all started.,5/6 weeks so very early. There's a back story so it's very much fingers crossed at the minute.It wasn't your fault if you didn't know. I didn't find out till about 20 weeks with DD1 and didn't stop anything She was fine but that was just luck I think.I can understand that. A bereavement ended up with me being placed on the diazepam so it's really how it all started.,False
ILostItInTheEarlyNineties,Sun 22-Jan-17 11:06:46,"Cleaning, it sounds like you've had a tough time . It's brilliant that you've started to take back control of things and cut down so much. I haven't kicked the fags Onwards and upwards, I like that!Hope everyone has a lovely Sunday.","Cleaning, it sounds like you've had a tough time . It's brilliant that you've started to take back control of things and cut down so much. I haven't kicked the fags Onwards and upwards, I like that!Hope everyone has a lovely Sunday.",False
